name,description,steps,equipment
Hanging Leg Raise,Targets lower abs. Improves core strength.,Raise legs\nPause\nLower slowly,Pull-up Bar
Lying Leg Raise,Lower ab exercise. Builds control.,Raise legs\nLower slowly\nRepeat,Bodyweight
Captain's Chair Leg Raise,Targets lower abs. Improves endurance.,Raise knees\nPause\nLower,Machine
Russian Twists,Targets obliques. Improves rotation strength.,Twist side to side\nKeep core tight\nRepeat,Bodyweight / Plate
Side Plank,Strengthens core stability. Targets obliques.,Hold side position\nKeep body straight\nSwitch sides,Bodyweight
Oblique Crunch,Targets side abs. Builds definition.,Crunch sideways\nPause\nLower,Bodyweight
Plank,Core stability exercise. Improves endurance.,Hold position\nKeep core tight\nMaintain form,Bodyweight
Ab Wheel Rollout,Advanced core exercise. Builds strength.,Roll forward\nStretch\nReturn,Ab Wheel
Dead Bug,Core stability exercise. Improves coordination.,Extend limbs\nAlternate sides\nControl movement,Bodyweight
Barbell Squat,Compound leg exercise. Builds strength.,Squat down\nKeep back straight\nStand up,Barbell
Leg Press,Targets quads. Builds leg strength.,Push platform\nLower slowly\nRepeat,Machine
Leg Extensions,Isolates quads. Improves definition.,Extend legs\nPause\nLower,Machine
Romanian Deadlift,Targets hamstrings. Improves flexibility.,Lower bar\nStretch hamstrings\nStand up,Barbell
Seated Leg Curl,Targets hamstrings. Builds strength.,Curl legs\nPause\nReturn,Machine
Lying Leg Curls,Isolates hamstrings. Improves control.,Curl legs\nLower slowly\nRepeat,Machine
Walking Lunges,Targets glutes and quads. Improves balance.,Step forward\nLower\nRepeat,Bodyweight / Dumbbells
Hip Thrust,Targets glutes. Builds power.,Lift hips\nSqueeze\nLower,Barbell
Glute Bridges,Glute activation exercise. Improves strength.,Lift hips\nPause\nLower,Bodyweight
Standing Calf Raise,Targets calves. Builds endurance.,Raise heels\nPause\nLower,Machine
Sitting Calf Raise,Isolates calves. Improves strength.,Raise heels\nLower slowly\nRepeat,Machine
Single Leg Calf Raise,Improves balance. Targets calves.,Raise heel\nPause\nLower,Bodyweight
Bulgarian Split Squat,Single-leg strength exercise. Targets quads.,Place rear foot elevated\nLower body\nPush up,Dumbbells
Preacher Hammer Curls,Targets brachioradialis and upper forearms. Helps build forearm thickness and strength.,Sit on preacher bench\nHold dumbbells neutral\nCurl upward and lower slowly,Dumbbells / Preacher Bench
Dumbbell Hammer Curls,Builds brachioradialis and forearm size. Improves grip strength.,Hold dumbbells neutral\nCurl upward\nLower slowly,Dumbbells
Reverse Barbell Curls,Targets upper forearms and improves grip. Builds forearm strength.,Hold bar with overhand grip\nCurl upward\nLower slowly,Barbell
Reverse Grip Cable Curls,Targets forearm extensors with constant tension. Improves muscle control.,Use straight bar\nCurl upward with reverse grip\nReturn slowly,Cable Machine
Wrist Rollers,Strengthens forearm extensors and grip endurance. Great for overall forearm development.,Hold roller\nRoll weight up\nControl descent,Wrist Roller
Barbell Reverse Wrist Curls,Isolates forearm extensors. Builds strength and endurance.,Hold bar overhand\nCurl wrists upward\nLower slowly,Barbell
Plate Pinches,Improves grip strength and forearm endurance. Engages flexor muscles.,Hold plates together\nLift and hold\nMaintain grip,Weight Plates
Behind-the-Back Wrist Curl,Targets lower forearm flexors. Improves wrist strength.,Hold bar behind back\nCurl wrists upward\nLower slowly,Barbell
Barbell Wrist Curls,Isolates forearm flexors. Builds wrist strength and size.,Hold bar underhand\nCurl wrists upward\nLower slowly,Barbell
